type_compte,anciennete_compte,age_client,statut_professionnel,revenus_mensuels,region,montant_transaction,type_transaction,categorie_marchand,pays_transaction,heure_transaction,jour_semaine,mode_paiement,nb_trans_24h,montant_total_24h,nb_pays_24h,distance_trans_precedente,temps_depuis_derniere_trans,montant_moyen_30j,ratio_montant_moyen,auth_3d_secure,ip_match_pays,appareil_connu,nb_tentatives_echouees,score_risque_marchand,is_fraud,annee_transaction,mois_transaction
1,34.37,45.56586318155424,3,4383.64,7,69.57,4,1,6,10,2,0,2.0,116.16,3,10.2,759.97,1162.83,0.0598307808634174,1,1,1,1.0,3.0,0,2023,12
2,111.1,54.738036392124165,2,3261.86,5,60.68,3,1,6,13,4,2,2.0,27.26,1,46.26,707.73,959.91,0.0632115141813347,1,1,1,0.0,3.0,0,2023,6
0,58.42,23.2999387828502,0,5235.26,0,108.98,4,1,6,18,1,0,1.0,85.49,1,6.12,1004.51,1821.5,0.0598316556253253,1,1,1,0.0,9.0,0,2023,6
1,46.21,58.00184847880357,0,785.82,7,38.13,4,1,6,8,0,2,2.0,105.72,1,29.71,1424.9,288.48,0.1321866697629903,1,1,1,0.0,5.0,0,2023,2
0,53.79,39.9417885408268,3,3203.57,11,86.92,3,1,6,12,2,2,3.0,150.93,1,24.09,671.77,561.35,0.1548435937129041,1,1,1,0.0,9.0,0,2023,7
2,29.06,55.2416345520951,2,2154.85,11,160.76,4,1,6,18,2,4,2.0,134.56,1,3.97,825.61,672.9,0.2389079178569974,1,1,1,0.0,2.0,0,2023,2
3,116.57,51.372275946177886,3,3830.55,9,77.74,4,1,6,17,5,4,3.0,289.5,1,46.43,555.51,657.35,0.1182570292659203,1,1,1,0.0,1.0,0,2023,10
0,61.11,59.7002669001124,3,3226.47,5,113.84,4,1,5,18,2,0,0.0,0.0,1,17.3,698.92,929.35,0.122494120210554,1,1,1,0.0,3.0,0,2023,2
0,168.28,36.84979601355399,1,4238.24,2,90.31,1,3,6,12,0,2,2.0,102.58,1,59.82,1155.56,1584.07,0.0570093477585691,1,0,1,0.0,2.0,0,2023,10
3,36.91,52.3320827125322,0,3471.21,11,76.44,1,3,6,16,1,0,4.0,263.57,1,18.8,825.79,609.72,0.1253654588576024,1,1,1,0.0,6.0,0,2023,1
0,39.84,47.52245845358605,5,1086.77,4,121.71,1,0,6,15,2,0,0.0,0.0,2,17.3,919.34,884.98,0.3367849658977571,1,1,1,1.0,4.0,0,2023,4
0,64.69,64.18142617842062,0,4547.52,9,40.11,0,3,6,15,2,4,1.0,62.08,1,15.68,2350.58,1754.55,0.0228589765806065,1,1,1,0.0,6.0,0,2023,12
2,23.56,25.168810449422548,0,3365.08,0,137.25,0,3,3,17,3,2,1.0,95.76,1,33.72,886.67,115.72,1.1860583059082368,1,1,1,1.0,5.0,0,2023,3
3,49.97,53.09140443203461,3,3615.82,9,163.69,0,7,6,20,2,0,4.0,230.68,1,61.57,707.13,1281.99,0.1276823854139917,0,1,1,1.0,3.0,0,2023,12
0,123.08,46.30081088803927,3,4670.41,0,61.33,4,1,6,14,4,0,5.0,357.48,1,23.84,1484.34,1783.99,0.03437967933615,1,1,1,1.0,1.0,0,2023,7
0,69.2,60.3300161664794,3,3318.37,11,84.44,1,4,6,20,4,2,2.0,272.01,1,8.96,682.53,884.98,0.0733153356902649,1,1,1,0.0,5.0,0,2023,10
3,27.9,69.85232056707764,5,802.17,4,112.61,1,8,6,13,5,0,1.0,107.11,1,12.51,815.32,215.51,0.5225310480537873,1,1,1,0.0,3.0,0,2023,2
1,85.59,37.27590184435011,3,5170.13,11,143.29,1,3,6,14,5,0,5.0,351.0,1,17.51,652.93,2014.24,0.0711390704971598,1,0,1,1.0,2.0,0,2023,5
2,70.0,52.377912829635086,3,2913.05,3,111.16,1,6,6,16,5,4,1.0,19.91,1,3.79,809.39,1084.87,0.1024634523097353,1,1,1,0.0,10.0,0,2023,7
3,52.43,62.29229424694709,3,3365.08,3,51.22,2,1,6,19,6,0,2.0,199.24,1,19.3,1290.52,1246.82,0.0410833178703191,1,1,1,0.0,2.0,0,2023,12
0,75.4,41.66049825262476,5,505.79,7,75.63,0,8,6,17,6,2,1.0,29.96,1,58.48,1035.18,168.57,0.4486653199047129,1,1,1,1.0,2.0,0,2023,12
2,51.07,28.541778943126214,2,2419.31,11,144.5,0,3,6,15,2,0,3.0,517.47,1,8.53,1289.83,418.76,0.345062270675581,1,1,1,0.0,3.0,0,2023,1
